L1,L2-3,L4,L5,L6,genes
2.7098e-05,2.323e-05,2.1324e-05,3.1277e-05,3.1642e-05,Rpl37a
0.00029737,0.00025349,0.0003887,0.00035094,0.00032907,Tmem229a
6.0924e-05,6.3718e-05,9.5045e-05,7.175e-05,7.9701e-05,Gltp
8.1318e-05,0.00010673,6.0664e-05,5.7011e-05,0.00010813,Mccc2
1.6061e-05,1.7313e-05,2.0029e-05,2.2223e-05,1.7262e-05,Trmt112
3.364e-05,4.058e-05,1.6994e-05,5.6863e-05,1.9622e-05,Mtif2
4.3662e-05,9.8429e-05,9.5003e-05,7.0341e-05,7.4297e-05,Paxbp1
0.00011995,0.00018545,0.00026926,0.00012889,0.00010609,Echdc2
9.345e-05,6.6248e-05,9.3464e-05,0.00014304,8.1273e-05,Sirt3
2.4586e-05,3.6719e-05,5.3602e-05,2.6652e-05,3.1973e-05,Idnk
0.00011713,0.00017335,0.00017156,0.00010662,9.245e-05,Efcab14
0.0011055,0.0013314,0.0012524,0.0013011,0.00095575,Slc38a3
2.2834e-07,2.5551e-07,1.8793e-07,2.0806e-07,3.0656e-07,Gm3809
0.00026237,0.00047892,0.000497,0.00024404,0.00023868,Lrtm2
0.00020331,0.00021157,0.00010416,0.00017448,0.00016123,Lrp1
0.00026068,0.00034903,0.00030821,0.00034156,0.00024326,Fam13c
5.4453e-05,6.724e-06,1.7878e-05,1.7335e-05,9.8324e-05,Id1
0.0012064,0.0010424,0.0010404,0.0012169,0.001469,Id2
0.00053798,0.00023548,0.00036174,0.00055584,0.00094836,Id3
0.00024188,0.00030679,0.0002858,0.00019273,0.00022442,Mtfr1l
0.00010986,6.9582e-05,6.3932e-05,0.0001387,0.00013955,Snx1
0.00012224,0.00013297,0.00015986,7.2565e-05,0.00013343,Snx6
5.3847e-05,4.2664e-05,5.668e-05,5.7314e-05,6.0514e-05,Rps15
6.3926e-05,8.9829e-05,4.5116e-06,4.0842e-05,6.1333e-05,Pak1
3.0412e-07,3.3747e-07,4.1278e-07,1.9302e-07,2.8968e-07,Gm12043
6.3421e-05,5.6663e-05,6.0196e-05,4.0832e-05,7.1109e-05,Wdfy3
4.2369e-06,8.4408e-06,1.9555e-05,7.8664e-06,5.4135e-06,Pced1b
0.00012941,0.00020158,0.0001016,0.00015223,9.72e-05,Prpf39
5.7279e-05,4.3784e-05,0.00010463,7.5823e-05,0.00010802,Pa2g4
0.00015217,0.00016572,0.00023381,9.0922e-05,0.00020163,Mmp14
9.0067e-05,0.00011253,0.00015557,0.0001024,0.00011995,Kmt2d
0.00016269,0.00017984,0.00011357,0.00017401,0.00022332,Kmt2e
5.1494e-05,6.1541e-05,5.5364e-05,4.9862e-05,7.533e-05,Sox2
0.00054523,0.00047462,0.00052787,0.00063847,0.00058808,Sox9
5.3593e-05,8.1121e-05,6.8417e-05,5.841e-05,6.0722e-05,Aldh4a1
0.00016052,0.00027705,0.00021807,0.00014651,0.00016288,Cept1
1.4806e-07,7.5409e-08,1.9869e-07,1.7529e-07,1.403e-07,Gm12164
0.00015711,0.00020772,0.00024132,0.00011583,0.00013105,Mfsd5
8.2015e-05,0.00012316,0.00014599,9.8733e-05,5.5109e-05,Mfsd8
0.00011379,0.00010094,0.00019396,0.00011838,0.00012984,Map7d1
0.00015654,0.00028346,0.00026949,0.00019327,0.00022812,Jun
7.3622e-05,9.5874e-05,8.6724e-05,0.00014691,9.2267e-05,Jup
6.3372e-05,6.7398e-05,7.7093e-05,7.0862e-05,8.9938e-05,Rps27a
9.5381e-05,0.00012813,0.00014127,0.00011127,9.634e-05,Got1
0.0078438,0.0072429,0.0067588,0.0070251,0.0080982,Sparcl1
0.00013889,0.0002171,0.00014823,0.00018199,0.00015838,Gpc6
1.3333e-06,1.1508e-06,2.169e-06,2.3977e-06,1.9435e-06,Rps19-ps6
5.0209e-05,5.642e-05,7.1125e-05,9.7885e-05,7.6697e-05,Gosr1
5.632e-07,4.2086e-07,6.9104e-07,5.882e-07,7.5157e-07,Gm5256
0.00049908,0.00068556,0.0005404,0.00063073,0.00063728,Hsp90ab1
7.8319e-05,0.00012931,0.00013481,0.00010807,8.9783e-05,Sf3b6
0.00019977,0.00021607,0.00034452,0.00018972,0.00019722,Paip2
2.6946e-07,2.7188e-07,2.8846e-07,3.0214e-07,2.9014e-07,Gm5270
0.00075354,0.00080271,0.00081453,0.00096099,0.00086505,Mid1ip1
2.4009e-05,3.9063e-05,3.5017e-05,2.6426e-05,2.6411e-05,1110008P14Rik
0.00014654,0.00014187,0.00017092,0.00014241,0.00017937,Srebf2
